seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no
"65553","228000021","8","26",영화2차,"228000280","47275"
"65554","228000021","8","27",상부주택,"228001776","47749"
"65555","228000021","8","28",영화마을,"228000422","29934"
"65556","228000021","8","29",보평,"228000421","29932"
"65557","228000021","8","30",미성비철,"228000420","29930"
"65558","228000021","8","31",느티나무,"228000277","29928"
"65559","228000021","8","32",영화마을.이삭아파트,"228000276","29926"
"65560","228000021","8","33",용샘주유소,"228001298","29917"
"65561","228000021","8","34",인정피렌체아파트,"228001295","29914"
"65562","228000021","8","35",예진마을입구,"228000267","29913"
"65563","228000021","8","36",명성주유소,"228001754","47718"
"65564","228000021","8","37",단사마을,"228001550","47486"
"65565","228000021","8","38",고림고등학교,"228000436","47309"
"65566","228000021","8","39",덕영고등학교.고림5통마을회관,"228000435","47310"
"65567","228000021","8","40",서울병원,"228000434","47574"
"65568","228000021","8","41",용마초교,"228001551","47485"
"65569","228000021","8","42",공설운동장,"228000427","47176"
"65570","228000021","8","43",운동장.송담대역,"228000321","29429"
"65571","228000021","8","44",용인터미널,"228000197","29436"
"65572","228000021","8","45",용인터미널(경유),"277102695",
"65702","228000055","22","1",용인터미널,"228001552","47634"
"65703","228000055","22","2",송담대사거리(경유),"277102467",
"65704","228000055","22","3",라이프아파트,"228000664","29457"
"65705","228000055","22","4",송담대,"228000663","29464"
"65706","228000055","22","5",옥현,"228000235","29955"
"65707","228000055","22","6",평옥,"228000234","29956"
"65708","228000055","22","7",대촌,"228000233","29957"
"65709","228000055","22","8",안터입구,"228001278","47529"
"65710","228000055","22","9",무너머고개,"228000232","47292"
"65711","228000055","22","10",은화삼입구,"228000231","29959"
"65712","228000055","22","11",아미원입구,"228000230","29961"
"65713","228000055","22","12",노루실,"228001279","29963"
"65714","228000055","22","13",에이스카운티,"228003577","56664"
"65715","228000055","22","14",베네스타아파트,"228001778","47746"
"65716","228000055","22","15",천리입구.메종포레스트,"228002104","47987"
"65717","228000055","22","16",천리신미주아파트,"228000228","29967"
"65718","228000055","22","17",동아아파트,"228000102","47221"
"65719","228000055","22","18",적동,"228000101","47106"
"65720","228000055","22","19",신원낚시터,"228000100","47564"
"65721","228000055","22","20",한덕,"228001898","47840"
"65722","228000055","22","21",묵4리.한덕,"228000099","47222"
"65723","228000055","22","22",묵4리.한덕,"228000098","47223"
"65724","228000055","22","23",삼배울로입구,"228000097","47224"
"65725","228000055","22","24",묵2리마을회관입구,"228001760","47722"
"65726","228000055","22","25",묵2리.굴암,"228000095","47225"
"65727","228000055","22","26",용덕사.자애원앞,"228000094","47226"
"65728","228000055","22","27",기도의집입구,"228000093","47227"
"65729","228000055","22","28",묵3리.자비정사,"228000092","47184"
"65730","228000055","22","29",장촌,"228000091","47228"
"65731","228000055","22","30",장촌,"228000090","47229"
"65732","228000055","22","31",묵3리.자비정사,"228000089","47185"
"65733","228000055","22","32",기도의집입구,"228000088","47230"
"65734","228000055","22","33",용덕사.자애원앞,"228000087","47231"
"65735","228000055","22","34",묵2리.굴암,"228000086","47232"
"65736","228000055","22","35",묵2리마을회관입구,"228000085","47565"
"65737","228000055","22","36",삼배울로입구,"228000084","47233"
"65738","228000055","22","37",묵4리.한덕,"228000083","47234"
"65739","228000055","22","38",묵4리.한덕,"228000082","47235"
"65740","228000055","22","39",한덕,"228001899","47841"
"65741","228000055","22","40",신원낚시터,"228000081","47566"
"65742","228000055","22","41",적동,"228000080","47107"
"65743","228000055","22","42",동아아파트,"228000079","47236"
"65744","228000055","22","43",천리신미주아파트,"228000206","29968"
"65745","228000055","22","44",천리입구.메종포레스트,"228001490","47367"
"65746","228000055","22","45",베네스타아파트,"228001779","47747"
"65747","228000055","22","46",에이스카운티,"228001803","56703"
"65748","228000055","22","47",노루실,"228000205","29964"
"65749","228000055","22","48",아미원입구,"228000204","29962"
"65750","228000055","22","49",무너머고개,"228000203","47252"
"65751","228000055","22","50",안터입구,"228001742","47712"
"65752","228000055","22","51",신기부락입구,"228001549","47536"
"65753","228000055","22","52",대촌,"228000202","29958"
"65754","228000055","22","53",평옥,"228000201","47014"
"65755","228000055","22","54",옥현,"228000200","47253"
"65756","228000055","22","55",태성중고등학교.현대아파트,"228000199","47015"
"65757","228000055","22","56",현대아파트,"228000198","47592"
"65758","228000055","22","57",용인터미널,"228000197","29436"
"65759","228000055","22","58",용인터미널(경유),"277102695",
"65985","228000081","12","1",금어2리,"228001897","47839"
"65986","228000081","12","2",세임어린이집,"228001896","47838"
"65987","228000081","12","3",용인야영장,"228001894","47836"
"65988","228000081","12","4",금어2리,"228000285","47179"
"65989","228000081","12","5",대진산업,"228001892","47834"
"65990","228000081","12","6",금어리환경센터앞,"228000284","47272"
"65991","228000081","12","7",금어1리,"228000283","47273"
"65992","228000081","12","8",어매실앞,"228000282","47274"
"65993","228000081","12","9",동우산업앞,"228000281","47583"
"65994","228000081","12","10",영화2차,"228000280","47275"
"65995","228000081","12","11",고림동.삼정그린뷰,"228000279","29935"
"65996","228000081","12","12",인정프린스아파트,"228000278","29937"
"65997","228000081","12","13",신원아파트,"228001150","29465"
"65998","228000081","12","14",둔전농협앞,"228001152","29470"
"65999","228000081","12","15",둔전,"228001759","47720"
"66000","228000081","12","16",55사단앞.삼성쉐르빌아파트,"228001154","47348"
"66001","228000081","12","17",포곡고등학교,"228001866","47789"
"66002","228000081","12","18",포곡농협.대륙,"228001156","29490"
"66003","228000081","12","19",포곡읍주민자치센터,"228001345","29496"
"66004","228000081","12","20",포곡초교앞사거리,"228001628","47519"
"66005","228000081","12","21",포곡초등학교,"228002072","47967"
"66006","228000081","12","22",고은하우스,"228002074","47969"
"66007","228000081","12","23",에버힐스마을입구,"228002076","47971"
"66008","228000081","12","24",마성리,"228000384","47675"
"66009","228000081","12","25",마성리,"228000383","47625"
"66010","228000081","12","26",에버힐스마을입구,"228002077","47972"
"66011","228000081","12","27",고은하우스,"228002075","47970"
"66012","228000081","12","28",포곡초등학교,"228002073","47968"
"66013","228000081","12","29",포곡초교사거리앞,"228001622","47520"
"66014","228000081","12","30",포곡중학교,"228001348","29481"
"66015","228000081","12","31",포곡읍주민자치센터,"228001159","29501"
"66016","228000081","12","32",포곡농협.대륙,"228001157","29491"
"66017","228000081","12","33",포곡고등학교,"228001865","47732"
"66018","228000081","12","34",55사단앞.삼성쉐르빌아파트,"228001155","47534"
"66019","228000081","12","35",둔전,"228001153","29472"
"66020","228000081","12","36",신원아파트,"228001151","29463"
"66021","228000081","12","37",둔전역,"228002150","56033"
"66022","228000081","12","38",인정프린스아파트,"228000293","29938"
"66023","228000081","12","39",고림동.삼정그린뷰,"228000292","29936"
"66024","228000081","12","40",영화2차,"228000291","47268"
"66025","228000081","12","41",동우산업앞,"228000290","47269"
"66026","228000081","12","42",어매실앞,"228000289","47270"
"66027","228000081","12","43",금어1리,"228000288","47582"
"66028","228000081","12","44",금어리환경센터앞,"228000287","47271"
"66029","228000081","12","45",대진산업,"228001891","47833"
"66030","228000081","12","46",금어2리,"228000286","47095"
"66031","228000081","12","47",용인야영장,"228001893","47835"
"66032","228000081","12","48",세음어린이집,"228001895","47837"
"66238","228000113",9-1,"1",용인터미널,"228001552","47634"
"66239","228000113",9-1,"2",용인터미널(경유),"277102443",
"66240","228000113",9-1,"3",운동장.송담대역,"228000320","29430"
"66241","228000113",9-1,"4",고진역입구,"228000319","29454"
"66242","228000113",9-1,"5",무수막,"228000318","29453"
"66243","228000113",9-1,"6",유림동주민센터,"228000317","29451"
"66244","228000113",9-1,"7",상유곡.버드실,"228000316","29449"
"66245","228000113",9-1,"8",유림동.방축,"228000315","29452"
"66246","228000113",9-1,"9",화훼단지앞,"228000314","29443"
"66247","228000113",9-1,"10",수포교,"228001149","29824"
"66248","228000113",9-1,"11",둔전역.인정멜로디아파트,"228000313","29456"
"66249","228000113",9-1,"12",신원아파트,"228001150","29465"
"66250","228000113",9-1,"13",둔전농협앞,"228001152","29470"
"66251","228000113",9-1,"14",둔전,"228001759","47720"
"66252","228000113",9-1,"15",55사단앞.삼성쉐르빌아파트,"228001154","47348"
"66253","228000113",9-1,"16",포곡고등학교,"228001866","47789"
"66254","228000113",9-1,"17",포곡농협.대륙,"228001156","29490"
"66255","228000113",9-1,"18",포곡읍주민자치센터,"228001345","29496"
"66256","228000113",9-1,"19",고은유치원,"228001438","47478"
"66257","228000113",9-1,"20",배머루마을,"228001639","47512"
"66258","228000113",9-1,"21",영문리,"228000386","29947"
"66259","228000113",9-1,"22",영문2리,"228002092","47343"
"66260","228000113",9-1,"23",마성1리,"228000385","29951"
"66261","228000113",9-1,"24",마성리(경유),"277102038",
"66262","228000113",9-1,"25",마성1리,"228000382","29952"
"66263","228000113",9-1,"26",영문2리,"228002052","47965"
"66264","228000113",9-1,"27",영문리,"228000381","29948"
"66265","228000113",9-1,"28",배머루마을,"228001640","47511"
"66266","228000113",9-1,"29",고은유치원,"228001439","47477"
"66267","228000113",9-1,"30",포곡초교사거리앞,"228001622","47520"
"66268","228000113",9-1,"31",포곡읍주민자치센터,"228001159","29501"
"66269","228000113",9-1,"32",포곡농협.대륙,"228001157","29491"
"66270","228000113",9-1,"33",포곡고등학교,"228001865","47732"
"66271","228000113",9-1,"34",55사단앞.삼성쉐르빌아파트,"228001155","47534"
"66272","228000113",9-1,"35",둔전,"228001153","29472"
"66273","228000113",9-1,"36",둔전농협앞,"228001740","47705"
"66274","228000113",9-1,"37",신원아파트,"228001151","29463"
"66275","228000113",9-1,"38",둔전역.인정멜로디아파트,"228000329","29455"
"66276","228000113",9-1,"39",둔전다리,"228000328","29442"
"66277","228000113",9-1,"40",화원,"228000327","29444"
"66278","228000113",9-1,"41",유림동.방축,"228000326","29447"
"66279","228000113",9-1,"42",상유곡.버드실,"228000325","29445"
"66280","228000113",9-1,"43",유림동주민센터,"228000324","29446"
"66281","228000113",9-1,"44",무수막,"228000323","29448"
"66282","228000113",9-1,"45",고진역입구,"228000322","29450"
"66283","228000113",9-1,"46",운동장.송담대역,"228000321","29429"
"66284","228000113",9-1,"47",용인터미널,"228000197","29436"
"66285","228000113",9-1,"48",용인터미널(경유),"277102695",
"66348","228000128","73","1",백암,"228000564","47200"
"66349","228000128","73","2",백암면주민자치센터,"228002184","56043"
"66350","228000128","73","3",원터,"228000563","29831"
"66351","228000128","73","4",원터다리,"228001165","29832"
"66352","228000128","73","5",사은.양양물류센타,"228000561","29728"
"66353","228000128","73","6",백봉,"228001613","47192"
"66354","228000128","73","7",고안1리마을회관,"228001873","47793"
"66355","228000128","73","8",대우연수원입구,"228001875","47790"
"66356","228000128","73","9",고안4리,"228001930","47882"
"66357","228000128","73","10",고안3리,"228001933","47885"
"66358","228000128","73","11",아곡,"228000558","47199"
"66359","228000128","73","12",주평,"231000414","34474"
"66360","228000128","73","13",아송입구,"231000407","33685"
"66361","228000128","73","14",주평,"231000415","34475"
"66362","228000128","73","15",아곡,"228000557","29738"
"66363","228000128","73","16",고안3리,"228001932","47886"
"66364","228000128","73","17",고안4리,"228001931","47884"
"66365","228000128","73","18",대우연수원입구,"228001874","47791"
"66366","228000128","73","19",고안1리마을회관,"228001872","47792"
"66367","228000128","73","20",백봉초등학교,"228001876","47759"
"66368","228000128","73","21",사은,"228000554","29727"
"66369","228000128","73","22",신대촌,"228000553","29725"
"66370","228000128","73","23",원터다리,"228000552","29723"
"66371","228000128","73","24",원터,"228000551","29722"
"66372","228000128","73","25",백암면주민자치센터,"228002185","56044"
"66373","228000128","73","26",백암터미널,"228001584","47447"
"66541","228000136","2","1",용인터미널,"228001552","47634"
"66542","228000136","2","2",용인터미널(경유),"277102487",
"66543","228000136","2","3",처인구청후문,"228000752","29418"
"66544","228000136","2","4",문예회관입구,"228000751","29416"
"66545","228000136","2","5",주공아파트,"228000750","29411"
"66546","228000136","2","6",중앙지구대,"228000446","29412"
"66547","228000136","2","7",처인구청.용인헌혈의집,"228000445","29420"
"66548","228000136","2","8",용인시장.시장약국,"228000444","29425"
"66549","228000136","2","9",운동장.송담대역,"228000320","29430"
"66550","228000136","2","10",공설운동장,"228000418","47121"
"66551","228000136","2","11",용마초교,"228001543","47489"
"66552","228000136","2","12",서울병원,"228000439","47307"
"66553","228000136","2","13",덕영고등학교.고림5통마을회관,"228000438","47308"
"66554","228000136","2","14",고림고등학교,"228000437","47573"
"66555","228000136","2","15",단사마을,"228001544","47538"
"66556","228000136","2","16",명성주유소,"228001753","47719"
"66557","228000136","2","17",예진마을입구,"228000266","29912"
"66558","228000136","2","18",인정피렌체아파트,"228001295","29914"
"66559","228000136","2","19",용샘주유소,"228001296","29916"
"66560","228000136","2","20",예원마을앞,"228001274","47624"
"66561","228000136","2","21",코아루아파트,"228000273","47623"
"66562","228000136","2","22",예원마을,"228001780","47197"
"66563","228000136","2","23",임원,"228000270","29919"
"66564","228000136","2","24",영화마을.이삭아파트,"228000269","29925"
"66565","228000136","2","25",느티나무,"228000268","29927"
"66566","228000136","2","26",미성비철,"228000425","29929"
"66567","228000136","2","27",보평,"228000424","29931"
"66568","228000136","2","28",영화마을,"228000423","29933"
"66569","228000136","2","29",보평상부주택,"228001775","47742"
"66570","228000136","2","30",고림동.삼정그린뷰,"228000279","29935"
"66571","228000136","2","31",인정프린스아파트,"228000278","29937"
"66572","228000136","2","32",둔전역,"228001777","47745"
"66573","228000136","2","33",둔전역.인정멜로디아파트,"228000329","29455"
"66574","228000136","2","34",둔전다리,"228001297","47629"
"66575","228000136","2","35",성웅아파트,"228000407","29941"
"66576","228000136","2","36",영문중학교,"228000406","29943"
"66577","228000136","2","37",영문1리,"228000405","29945"
"66578","228000136","2","38",영문리,"228000386","29947"
"66579","228000136","2","39",영문2리,"228002092","47343"
"66580","228000136","2","40",마성1리,"228000385","29951"
"66581","228000136","2","41",에버힐스마을입구,"228002076","47971"
"66582","228000136","2","42",마성리,"228000384","47675"
"66583","228000136","2","43",마성리,"228000383","47625"
"66584","228000136","2","44",에버힐스마을입구,"228002077","47972"
"66585","228000136","2","45",마성1리,"228000382","29952"
"66586","228000136","2","46",영문2리,"228002052","47965"
"66587","228000136","2","47",영문리,"228000381","29948"
"66588","228000136","2","48",영문1리,"228000404","29946"
"66589","228000136","2","49",영문중학교,"228000403","29944"
"66590","228000136","2","50",성웅아파트,"228000402","29942"
"66591","228000136","2","51",수포교,"228001719","29940"
"66592","228000136","2","52",둔전역.인정멜로디아파트,"228000313","29456"
"66593","228000136","2","53",인정프린스아파트,"228000293","29938"
"66594","228000136","2","54",고림동.삼정그린뷰,"228000292","29936"
"66595","228000136","2","55",상부주택,"228001776","47749"
"66596","228000136","2","56",영화마을,"228000422","29934"
"66597","228000136","2","57",보평,"228000421","29932"
"66598","228000136","2","58",미성비철,"228000420","29930"
"66599","228000136","2","59",느티나무,"228000277","29928"
"66600","228000136","2","60",영화마을.이삭아파트,"228000276","29926"
"66601","228000136","2","61",예원마을앞,"228001274","47624"
"66602","228000136","2","62",코아루아파트,"228000273","47623"
"66603","228000136","2","63",예원마을,"228001780","47197"
"66604","228000136","2","64",임원,"228000270","29919"
"66605","228000136","2","65",용샘주유소,"228001298","29917"
"66606","228000136","2","66",인정피렌체아파트,"228001295","29914"
"66607","228000136","2","67",예진마을입구,"228000267","29913"
"66608","228000136","2","68",명성주유소,"228001754","47718"
"66609","228000136","2","69",단사마을,"228001550","47486"
"66610","228000136","2","70",고림고등학교,"228000436","47309"
"66611","228000136","2","71",덕영고등학교.고림5통마을회관,"228000435","47310"
"66612","228000136","2","72",서울병원,"228000434","47574"
"66613","228000136","2","73",용마초교,"228001551","47485"
"66614","228000136","2","74",공설운동장,"228000427","47176"
"66615","228000136","2","75",운동장.송담대역,"228000321","29429"
"66616","228000136","2","76",용인시장.시장약국,"228000449","29428"
"66617","228000136","2","77",처인구청.용인헌혈의집,"228000448","29419"
"66618","228000136","2","78",중앙지구대,"228000447","29413"
"66619","228000136","2","79",주공아파트,"228001299","29410"
"66620","228000136","2","80",문예회관입구,"228001300","29415"
"66621","228000136","2","81",처인구청후문,"228000774","29417"
"66622","228000136","2","82",용인터미널,"228000197","29436"
"66623","228000136","2","83",용인터미널(경유),"277102695",
"66665","228000148","3","1",용인터미널,"228001552","47634"
"66666","228000148","3","2",용인터미널(경유),"277102443",
"66667","228000148","3","3",포브스병원,"228000443","29439"
"66668","228000148","3","4",우성아파트,"228000442","29460"
"66669","228000148","3","5",동부동주민센터,"228000773","29471"
"66670","228000148","3","6",신흥,"228000772","29502"
"66671","228000148","3","7",삼박곡,"228000771","29520"
"66672","228000148","3","8",신평리,"228000770","29527"
"66673","228000148","3","9",송문3리,"228000769","29553"
"66674","228000148","3","10",송문리,"228000768","29556"
"66675","228000148","3","11",용인장례식장,"228001162","29825"
"66676","228000148","3","12",남곡리,"228000767","29565"
"66677","228000148","3","13",양지14리,"228000766","29568"
"66678","228000148","3","14",등촌.약천사,"228000765","29570"
"66679","228000148","3","15",양지면사무소,"228000764","29574"
"66680","228000148","3","16",양지농협,"228001163","29826"
"66681","228000148","3","17",양지사거리,"228000583","29577"
"66682","228000148","3","18",패션아울렛,"228001301","29849"
"66683","228000148","3","19",학촌,"228001621","29584"
"66684","228000148","3","20",담안빌라,"228000521","29592"
"66685","228000148","3","21",삼성전원마을,"228000520","29595"
"66686","228000148","3","22",공세울,"228000519","47622"
"66687","228000148","3","23",제일초등학교,"228000518","29631"
"66688","228000148","3","24",제일리마을회관,"228000517","29635"
"66689","228000148","3","25",제일2리,"228000528","29638"
"66690","228000148","3","26",추계리,"228000527","29646"
